epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8651143312454224,9.999999747378752e-06,0.3591402769088745,0.9019607901573181,0.3654029965400696
1,0.8886091709136963,9.999999747378752e-06,0.3057354688644409,0.8941176533699036,0.41401365399360657
2,0.9093769788742065,9.999999747378752e-06,0.25763458013534546,0.8911764621734619,0.427578866481781
3,0.907489001750946,9.999999747378752e-06,0.25227922201156616,0.908823549747467,0.3171440660953522
4,0.912104070186615,9.999999747378752e-06,0.22977079451084137,0.9176470637321472,0.27971145510673523
5,0.9186071157455444,9.999999747378752e-06,0.22616548836231232,0.9411764740943909,0.22154411673545837
6,0.922173261642456,9.999999747378752e-06,0.21415264904499054,0.9411764740943909,0.20119976997375488
7,0.9320327043533325,9.999999747378752e-06,0.19292855262756348,0.9411764740943909,0.18800505995750427
8,0.9362282156944275,9.999999747378752e-06,0.18268416821956635,0.9450980424880981,0.17191454768180847
9,0.9337109327316284,9.999999747378752e-06,0.17402973771095276,0.949999988079071,0.15157051384449005
10,0.9320327043533325,9.999999747378752e-06,0.18364357948303223,0.9529411792755127,0.136070117354393
11,0.9431508183479309,9.999999747378752e-06,0.15700672566890717,0.9539215564727783,0.13248953223228455
12,0.9427312612533569,9.999999747378752e-06,0.15387579798698425,0.9490196108818054,0.1371343582868576
13,0.9467170238494873,9.999999747378752e-06,0.14907580614089966,0.9529411792755127,0.13058538734912872
14,0.9431508183479309,9.999999747378752e-06,0.15114791691303253,0.9588235020637512,0.12095165997743607
15,0.9536396265029907,9.999999747378752e-06,0.12942348420619965,0.9598039388656616,0.1161881685256958
16,0.9511222839355469,9.999999747378752e-06,0.13594093918800354,0.9637255072593689,0.11518124490976334
17,0.9538493752479553,9.999999747378752e-06,0.13063646852970123,0.9637255072593689,0.10808230936527252
18,0.9559471607208252,9.999999747378752e-06,0.12815602123737335,0.9647058844566345,0.11103076487779617
19,0.9593035578727722,9.999999747378752e-06,0.11263860762119293,0.9637255072593689,0.11131811887025833
